timestamp,email_address,which_country_do_you_work_in,what_city_do_you_work_in,which_us_state_do_you_work_in,which_canadian_province_do_you_work_in,company_or_institution_name,which_of_the_following_best_describes_your_company,biotech_sub_industry,company_detail_approximate_company_size,provide_a_review_and_rate_your_companyinstitution_and_experience,work_life_balance_on_average_how_many_hours_do_you_work_per_week,what_is_your_official_job_title,which_department_best_describes_your_role_if_you_cant_find_one_that_fits_your_specific_role_select_other_and_describe,briefly_describe_your_position_and_responsibilities,do_you_work_inperson_remote_or_hybrid,how_many_days_on_average_per_week_do_you_work_from_home,what_degrees_do_you_have,how_many_total_years_of_experience_in_postdocs_do_you_have,list_other_relevant_and_recognized_certifications,please_enter_your_total_years_of_experience_in_the_field,what_currency_will_you_be_answering_these_questions_in,are_you_a_salaried_or_hourly_employee,if_you_are_an_hourly_employee_how_many_hours_per_week_do_you_work,annual_base_salary,overtime_pay,annual_target_bonus_in_percentage,commission,annual_equitystock_option,most_recent_annual_yearly_raise,bonus_value,stockequity_options,relocation_assistance_total_value,retirement_benefits,healthcare_benefits,select_the_highest_level_of_education_that_you_have_thats_relevant_to_your_occupation_if_you_have_multiple_please_select_other_and_describe,how_many_years_have_you_been_working_at_this_current_position,what_currency_will_you_be_answering_these_quesitons_in,survey_feedback,any_other_type_of_annual_bonus_please_describe,how_much_of_your_bonus_did_you_receive_in_the_last_cycle
2025-12-04 12:10:28.887000,,United States,,North Carolina,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,,41 - 45,Director of Molecular and Cellular Pharmacology,Research,,In-Person,0.5,,8.0,,4.0,,Salaried,Not applicable,170000.0,N/A (no overtime/am salaried),15.0,No commission,0.0,Company/Institution does not have annual yearly raise,3000.0,,,401k match,,PhD,4.0,USD - US dollar,,,16.0
2025-12-03 23:50:22.204000,,Canada,,,British Columbia,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,,36 - 40,Research Associate,Research,Evaluate lipid naoparticle-based therapeutics in preclinical mouse models using primarily flow cytometry ,In-Person,1.0,,0.0,,2.0,,Salaried,Not applicable,67500.0,N/A (no overtime/am salaried),,No commission,0.0,4.0,,,6000.0,,,Masters,1.0,CAD - Canadian dollar,,,
2025-12-03 17:03:37.626000,,United States,,Pennsylvania,,Eurofins Lancaster Labs,Public,Contract Research Organization,1000-5000,,41 - 45,Scientist II,Analytical Testing,,In-Person,0.0,,0.0,,2.0,,Salaried,Not applicable,54500.0,N/A (no overtime/am salaried),,No commission,0.0,3.0,,,,,,Bachelors,2.5,USD - US dollar,,,
2025-12-03 15:04:08.091000,,United States,,California,,Prefer not to say,Private,Industrial Biotech,1-50,Stressfull but great and growing,51 - 60,Director,Data Science / Bioinformatics,Computational biology research and platform development,Hybrid,3.0,,0.0,,3.0,,Salaried,Not applicable,190000.0,N/A (no overtime/am salaried),0.0,No commission,250000.0,8.0,15000.0,Equity grant,0.0,401k match 4.5%,"Fully covered primary, 70% coverage for dependents",PhD,1.0,USD - US dollar,,,0.0
2025-12-01 12:08:21.271000,,United States,,Virginia,,Thermofisher,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Assistant Scientist,Clinical,"Extract human/animal samples, inject into LCMS/MS.
Process results
Prepare reagents
Troubleshoot system
Prepare suitability extracts",In-Person,0.0,,0.0,,1.0,,Hourly,42.0,43680.0,1.5x base,5.0,No commission,0.0,Company/Institution does not have annual yearly raise,,,,401k match 6%,,Bachelors,1.0,USD - US dollar,,,0.0
2025-11-28 20:51:10.530000,,Canada,,,Alberta,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,36 - 40,Principal Scientist,Analytical Development,Method development and project management,In-Person,0.0,,0.0,,9.0,,Salaried,Not applicable,168000.0,N/A (no overtime/am salaried),20.0,No commission,100000.0,0.1,,,,,,PhD,9.0,CAD - Canadian dollar,,,20.0
2025-11-27 23:24:30.662000,,United States,,New Jersey,,BMS,Public,Pharmaceutical (including “big pharma”),5000+,"there are supportive managers and unsupportive managers-- depending on who you have and your dept, your experience will make or break. mid and upper level management aren't strong leaders all throughout, which makes aligning on goals and work more difficult. ",36 - 40,Senior Scientist- Packaging,Operations,"primary packaging engineer for parenteral products (typically biologics): create and maintain component specs, author P.7 for dossiers, etc.",Hybrid,2.0,,0.0,,5.0,,Salaried,Not applicable,125000.0,N/A (no overtime/am salaried),10.0,No commission,9000.0,Company/Institution does not have annual yearly raise,2000.0,,7500.0,6% 401k match,"HSA through fidelity, aetna for health insurance, metlife for dental, eyemed for vision",Masters,1.0,USD - US dollar,nice survey! ,,9.0
2025-11-26 09:57:49.196000,,United States,,North Carolina,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1000-5000,3.5/5,41 - 45,Scientist,Quality,QC- Micro ,In-Person,0.0,,0.0,,6.0,,Hourly,40.0,64800.0,1.5x base,5.0,No commission,0.0,0.026,,,,0.06,"UHC, $750 HSA contribution, LDHP PPO available",Bachelors,3.0,USD - US dollar,Survey is very helpful and informative. We need all the salary transparency we can get.,Referral,2-3% every year since 2022
2025-11-24 18:50:27.032000,,United States,,Massachusetts,,Prefer not to say,Public,Cell and Gene Therapy,5000+,,36 - 40,Senior Associate Scientist,Research,Wet-lab research in oncology cell therapy ,In-Person,0.0,,0.0,,5.0,,Salaried,Not applicable,105000.0,N/A (no overtime/am salaried),9.5,No commission,20000.0,Have not been long enough to have an annual yearly raise,,,,,,Bachelors,1.0,USD - US dollar,,,
2025-11-24 13:37:28.778000,,United States,,Massachusetts,,Prefer not to say,Public,Industrial Biotech,1000-5000,,30 - 35,Scientist ,Research,,In-Person,0.0,,0.0,,3.0,,Salaried,Not applicable,139200.0,N/A (no overtime/am salaried),15.0,No commission,0.0,Company/Institution does not have annual yearly raise,,,,,,PhD,3.0,USD - US dollar,,,15.0
2025-11-23 17:03:42.162000,,United States,,California,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,,41 - 45,Principal Scientist,Research,Head of in-lab protein upstream/downstream process design and execution. In lab doing experiment.,In-Person,0.0,,1.0,,13.0,,Salaried,Not applicable,175.0,N/A (no overtime/am salaried),10.0,No commission,0.0,Have not been long enough to have an annual yearly raise,,,,401k,Full ride,PhD,1.0,USD - US dollar,,,
2025-11-21 03:46:27.460000,,United States,,Massachusetts,,Hamilton,Private,Biotech Equipment,1000-5000,Initially? 9/10. Lately? 5/10.,36 - 40,Field Service,Operations,Repairing liquid handlers on personally constructed schedule (high independence); firstline customer service representative; tech support,Hybrid,1.0,,0.0,,3.0,,Salaried,Not applicable,100000.0,"Salaried non-exempt; base of 40 guaranteed paid hours, overtime at time and a half",0.0,Commission is based off of how many FVK IIs we perform FYI. Wanna get on your FSE's good side? Get the FVK.,0.0,0.03,5000.0,0.0,5000.0,5% salary matching on 401k contributions.,United. Good luck finding a doc in network.,Bachelors,3.0,USD - US dollar,"8/10. Stop asking redundant questions. Consolidate. It's very confusing. It's also 3-4 AM, and I'm a bit crossed. So fight me. Don't tell my boss. They drug test, and I'm on thin ice for falling behind on paperwork (which is their fault for how systemically overworked we've been lately). At least, they threaten to test. They do consistently test the factory workers, though! Drives me f*cking nuts. Unjust. It's only done to purge when needed. They can't afford to lose us though! For now! May be changing...",Roughly 10-15k in bonus/expense reimbursement,See prior response?
2025-11-20 10:31:09.621000,,United States,,Georgia,,University of Georgia,Academia/College/Universities,Academia/Research/Institution,5000+,"I think that EHS is not aggressive enough in their approach of safety. HR is helpful and patient. Faculty is nice to be around, not nice to actually manage. I think the whole university has their technicians stretched way too thin, and the pay is not good enough to deal with the various personalities that waltz in here. ",36 - 40,Research Professional,Operations,"Ordering, fixing equipment, communicating between faculty, staff and students, assisting with student projects",In-Person,0.0,,0.0,,4.0,,Salaried,Not applicable,50000.0,N/A (no overtime/am salaried),,No commission,0.0,Company/Institution does not have annual yearly raise,,,,"ORP - 9.24% match vested immediately
TRS - 21.91% match vested after 10 years","Cheapest plan - Anthem Consumer Choice HSA - $91.72/month, with current HSA contributions being $51.97 (UGA will match up to $375). Deductible is $3200, max out of pocket is $5000. All in network care is 80% covered. Most out of network care is 60% covered.",Bachelors,1.0,USD - US dollar,,,
2025-11-19 15:43:27.338000,,Canada,,,Alberta,Prefer not to say,Subsidiary,Contract Research Organization,200-1000,,46 - 50,Research Scientist,Research,,In-Person,0.0,,0.0,"PMP, PE, RAPS, etc",8.0,,Salaried,Not applicable,97000.0,N/A (no overtime/am salaried),,No commission,0.0,Company/Institution does not have annual yearly raise,,,,,,PhD,2.0,CAD - Canadian dollar,,,
2025-11-17 22:50:09.436000,,United States,,Virginia,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,"Senior Specialist, Engineering",Manufacturing,,In-Person,0.0,,0.0,,11.0,,Salaried,Not applicable,136000.0,N/A (no overtime/am salaried),,No commission,0.0,0.03,,,,,,Masters,2.0,USD - US dollar,,12% of base with company and individual multipliers ,0.17
2025-11-17 20:08:48.605000,,United States,,Massachusetts,,Prefer not to say,Public,Cell and Gene Therapy,200-1000,,36 - 40,Principal Process Development Engineer,Manufacturing,"Oversee Phase III / Commercial mRNA Manufacturing, Scale-up and Tech Transfer of Processes, Process Validation (PPQs), CPV, Regulatory Writing",In-Person,6.0,,0.0,"PMP, PE, RAPS, etc",12.0,,Salaried,Not applicable,190000.0,N/A (no overtime/am salaried),15.0,No commission,40000.0,Company/Institution does not have annual yearly raise,0.0,3000 options at $14 strike price,0.0,401k Match up to 3%,50% HSA contributions,Masters,6.0,USD - US dollar,,Restricted Stock,15.0
2025-11-17 04:18:08.043000,,Canada,,,Nova Scotia,Prefer not to say,Private,Contract Research Organization,1-50,,36 - 40,Senior Scientist and Team Lead,Research,"Managing a team of scientists to complete projects on drug candidates, reading and editing reports, attending meetings with clients F2F about results.",In-Person,0.0,,2.0,,5.0,,Salaried,Not applicable,93000.0,N/A (no overtime/am salaried),8.0,No commission,0.0,3.5,0.0,0.0,0.0,RRSP Match,Complete benefits covered by employer,PhD,5.0,CAD - Canadian dollar,,,8.0
2025-11-15 14:28:39.414000,,United States,,California,,Prefer not to say,Private,Cell and Gene Therapy,50-200,,36 - 40,Senior Research Associate,Research,,In-Person,0.0,,0.0,,4.0,,Salaried,Not applicable,115000.0,N/A (no overtime/am salaried),15.0,No commission,0.0,10.0,2000.0,,,1% 401k match ,free healthcare/dental/vision coverage,Bachelors,4.0,USD - US dollar,,,11.0
2025-11-14 07:48:08.632000,,United States,,Indiana,,Eli Lilly & Co. ,Public,Pharmaceutical (including “big pharma”),5000+,,46 - 50,Sr. Manager TSMS,Manufacturing,,In-Person,0.0,,0.0,,7.0,,Salaried,Not applicable,130000.0,N/A (no overtime/am salaried),12.0,No commission,0.0,Have not been long enough to have an annual yearly raise,,,,,,Masters,3 months,USD - US dollar,,,
2025-11-13 11:40:38.574000,,Germany,Mannheim,,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),50-200,,46 - 50,VP Technical Development & Manufacturing,Manufacturing,"Management of CDMO network for 4 programs (preIND to Phase II), responsible for process and analytical development, manufacturing and clinical drug supply",Hybrid,4.0,,2.0,,24.0,,Salaried,Not applicable,225000.0,N/A (no overtime/am salaried),25.0,No commission,80000.0,Company/Institution does not have annual yearly raise,80000.0,100000.0,0.0,,Healthcare insurance in German system,PhD,6.0,EUR - euro,,0.0,13.0
2025-11-13 08:55:21.508000,,United States,,California,,Lonza,Public,Contract Manufacturing Organization,5000+,"Strange culture, acquisition from Genentech ",46 - 50,Director of Operational Excellence ,Manufacturing,Leading Lean deployment and problem solving ,In-Person,0.0,,0.0,Six sigma Black Belt,20.0,,Salaried,Not applicable,265000.0,N/A (no overtime/am salaried),22.0,No commission,150000.0,0.02,0.0,0.0,,401K,Health insurance,Masters,1.0,USD - US dollar,,No,22.0
2025-11-12 20:13:50.419000,,United States,,Massachusetts,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),50-200,,36 - 40,Director,Research,"Program Biology lead, manage 1 report (lots of work is outsourced)",Hybrid,2.0,,4.0,,7.0,,Salaried,Not applicable,215000.0,N/A (no overtime/am salaried),20.0,No commission,0.0,Have not been long enough to have an annual yearly raise,,"option to purchase 8,000 shares",,"401k match, 6% up to $3000 max annually",,PhD,0.0,USD - US dollar,,,
2025-11-12 11:43:38.670000,,United States,,Maryland,,Prefer not to say,Public,Diagnostics,1000-5000,Its alright.  ,36 - 40,Change QA specialist,Quality,"Process change controls, cross functional cooperation for manufacturing initiatives, manage supplier change notifications",Hybrid,1.0,,0.0,,2.0,,Salaried,Not applicable,70000.0,N/A (no overtime/am salaried),8.0,No commission,0.0,Have not been long enough to have an annual yearly raise,,,,Dollar for dollar match up to $4000,,Masters,4 months,USD - US dollar,,,
2025-11-11 23:42:26.239000,,United States,,Minnesota,,Prefer not to say,Private,Contract Research Organization,50-200,,36 - 40,Scientist,Research,,In-Person,0.0,,2.0,,2.0,,Salaried,Not applicable,90000.0,N/A (no overtime/am salaried),1.0,No commission,0.0,3-3.5%,5000.0,,,,,PhD,2.0,USD - US dollar,,,
2025-11-11 22:07:35.253000,,United States,,Wisconsin,,Thermo Fisher Scientific,Private,Contract Research Organization,5000+,,41 - 45,Associate Research Scientist,Research,,In-Person,1.0,,0.0,,3.0,,Salaried,Not applicable,92000.0,N/A (no overtime/am salaried),6.0,No commission,0.0,4.0,,,,"401k match 6%, 22 days total PTO",,PhD,3.0,USD - US dollar,,,
2025-11-11 19:48:10.214000,,United States,,Pennsylvania,,Prefer not to say,Private,Cell and Gene Therapy,1000-5000,,36 - 40,Senior research associate ,Research,R&D gene therapy research with a focus on AAV. ,In-Person,0.0,,0.0,,6.0,,Salaried,Not applicable,70000.0,N/A (no overtime/am salaried),,No commission,0.0,Have not been long enough to have an annual yearly raise,,,,Mediocre ,About 60 a week,Bachelors,1.0,USD - US dollar,,,
2025-11-11 18:39:36.552000,,United States,,Washington,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),50-200,3.5,36 - 40,"Senior Scientist I, Medicinal Chemistry",Research,Small molecule drug discovery/medicinal chemistry on bench with one report,In-Person,0.0,,2.0,,7.0,,Salaried,Not applicable,135633.0,N/A (no overtime/am salaried),5.0,No commission,4444.0,0.03,,,15000.0,401k match 6% or $6000/year,"PPO or HSA, w/ dental and vision. PPO has a $750/$1500 deductible and $3000/$6000 OOP",PhD,7.0,USD - US dollar,,,5.7
2025-11-11 18:07:06.075000,,United States,,Washington,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),50-200,,36 - 40,Scientist I,Research,Medicinal Chemist,In-Person,0.0,,0.0,,15.0,,Salaried,Not applicable,133000.0,N/A (no overtime/am salaried),5.0,No commission,0.0,3.0,0.0,Annual stock options awarded as part of compensation package,0.0,401K Match up to 4K,,Masters,1.0,USD - US dollar,,,5.0
2025-11-11 11:03:32.479000,,United States,,California,,Prefer not to say,Private,Software,200-1000,,46 - 50,Research scientist,Research,,Hybrid,2.0,,0.0,,0.0,,Salaried,Not applicable,235000.0,N/A (no overtime/am salaried),12.0,No commission,0.0,Have not been long enough to have an annual yearly raise,,,,401k match,insurance,PhD,1.0,USD - US dollar,,12500.0,12.0
2025-11-10 11:39:23.266000,,United States,,Massachusetts,,Dana Farber Cancer Institute,Academia/College/Universities,Academia/Research/Institution,5000+,not good,36 - 40,Research Technician,Research,Cell and Gene therapy - production and testing for CAR-Ts,In-Person,0.0,,0.0,,0.0,,Hourly,40 - 42 hours,50000.0,1.5X,0.0,No commission,0.0,Have not been long enough to have an annual yearly raise,0.0,0.0,0.0,0.0,"insurance provider, total out of pocket, HSA contributions,",Masters,1.0,USD - US dollar,,0.0,0.0
2025-11-06 17:44:33.208000,,United States,,California,,Prefer not to say,Private,Cell and Gene Therapy,1-50,,41 - 45,Scientist I,Research,,In-Person,1.0,,0.0,,4.0,,Salaried,Not applicable,110000.0,N/A (no overtime/am salaried),,No commission,0.0,Company/Institution does not have annual yearly raise,,,,401k match 4%,,Masters,4.0,USD - US dollar,,,
2025-11-03 18:17:42.363000,,United States,,New Jersey,,Prefer not to say,Public,Cell and Gene Therapy,200-1000,,51 - 60,Senior Director,Commercial,,Remote,5.0,,0.0,,9.0,,Salaried,Not applicable,283000.0,N/A (no overtime/am salaried),20.0,No commission,40000.0,6.0,,,,,,Masters,3.0,USD - US dollar,,,18.18
2025-11-02 19:19:26.711000,,United States,,Massachusetts,,Sanofi,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Senior Research Associate,Research,,In-Person,0.0,,0.0,,5.0,,Salaried,Not applicable,97000.0,N/A (no overtime/am salaried),10.0,No commission,0.0,5.0,8000.0,,,9% 401k match,,Bachelors,4.0,USD - US dollar,,,10.0
