timestamp,what_country_do_you_work_in,where_is_the_closest_major_city_or_hub,biotech_sub_industry,company_or_institution_name,company_details_publicprivatestartup_subsidiary_of,company_detail_approximate_company_size,role_title_of_current_position,highest_achieved_formal_education,list_other_relevant_and_recognized_certifications,briefly_describe_your_position,years_of_experience,compensation_annual_base_salarypay,compensation_overtime_pay,compensation_annual_target_bonus,compensation_annual_equity,compensation_sign_on_bonus_value,compensation_stock_options,compensation_retirement_benefits,compensation_healthcare_benefits,compensation_most_recent_annual_yearly_raise,sign_on_relocation_assistance_total_value,company_review
2023-12-03 18:54:07.056000,UK,"Cambridge, UK",Devices,Illumina,Public,5000+,Senior Scientist,PhD or Equivalent,None,"Senior Scientist in R&D, no managment responsibilities",1.0,52000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-03-29 13:01:27.716000,United States,Bay Area,Devices,Prefer not to say,Private,50-200,Senior Data Scientist,Bachelors or Equivalent,None,,5.0,170000.0,N/A (no overtime/salaried),Not Applicable/None,100000.0,,,401k,High Deductible HSA,10.0,,
2023-04-06 21:38:19.937000,United States,Boston,Devices,Bio-Rad Laboratories,Public,5000+,Field Application Scientist II,PhD or Equivalent,None,Help customers by training them on machines and answering questions,7.0,104000.0,N/A (no overtime/salaried),28000.0,Not Applicable/None,,,5% 401K,,3.0,,It’s a good place to work
2023-05-20 12:24:06.069000,United States,Boston,Devices,Prefer not to say,Private,200-1000,Scientist,PhD or Equivalent,None,,0.0,125000.0,N/A (no overtime/salaried),9375.0,Not Applicable/None,5000.0,~5000 RSOs vesting over 4 years,No 401k match,,Have not been long enough to have an annual yearly raise,5000.0,
2023-03-29 06:44:02.448000,United States ,Boston,Devices,Prefer not to say,Private,200-1000,"Senior Manager, Program Management",PhD or Equivalent,None,,4.0,170000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,0.0,50% match up to 6%,"BlueCross MA HMO, PPO, HSA",Have not been long enough to have an annual yearly raise,,
2023-11-12 01:35:21.879000,US,Bay Area,Devices,Prefer not to say,Start-up,50-200,Scientist II,PhD or Equivalent,None,R&D technical lead. Manage 3 junior scientists,2.0,170.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,20000.0,30000.0,,,Company/Institution does not have annual yearly raise,,
2023-04-11 21:43:00.909000,USA,New Haven,Devices,Prefer not to say,Public,200-1000,Associate Scientist,Bachelors or Equivalent,None,,3.0,73000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,Options dependent on position and/or time at the company,401k match 3%,,4.0,,
2023-07-16 18:51:17.955000,USA,Bay area,Devices,Prefer not to say,Public,200-1000,Research Associate,Bachelors or Equivalent,None,Histology ,2.0,77000.0,1.5x,Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-08-25 21:20:09.998000,USA,San Diego,Devices,Prefer not to say,Public,5000+,Senior Staff Scientist ,PhD or Equivalent,None,,14.0,180000.0,N/A (no overtime/salaried),18000.0,70000.0,10000.0,,3% 401k match,,0.15,,Sinking ship
2023-10-09 19:22:34.618000,USA,San Diego,Devices,Prefer not to say,Public,5000+,Technical Service Engineer ,Bachelors or Equivalent,None,,3.0,83782.0,1.5x base. 2x base on weekends,7-15%,Not Applicable/None,,,,,2-4%,,
2023-11-10 14:35:27.044000,USA,Chicago,Devices,Thermo Fisher Scientific,Public,5000+,Engineer II,Masters or Equivalent,None,R&D mechanical engineer working with scientists on instruments ,2.0,90000.0,N/A (no overtime/salaried),0.06,Not Applicable/None,,,6% 401k match,"$25/pay period for HPDP with $2500 deductible, $500 HSA benefit",Company/Institution does not have annual yearly raise,7000.0,"Large, disjointed, difficult to find what you need, but what you need does exist "
2023-09-18 01:26:20.393000,USA,Bay Area,Diagnostics,Prefer not to say,Start-up,200-1000,Senior Technical Product Manager ,PhD or Equivalent,None,"Products are clinical (CLIA/FDA) in the areas: Bioinformatics, Data analytics, Software, Algorithms",6.0,180000.0,N/A (no overtime/salaried),27000.0,Not Applicable/None,,"Options as a starting grant with flat strike price, 4 year vest with 1 year cliff",4% 401K match,Low out of pocket for HDHP (and PPO/HMO options) with employer HSA contributions covering 50-80% of deductible ,Company/Institution does not have annual yearly raise,,
2023-10-22 01:18:37.637000,United States,Salt Lake City,Diagnostics ,Prefer not to say,Start-up,1-50,Bioinformatics Engineer,Associate’s Degree or Equivalent,None,"In my Bachelors, part time/full time position ",1.0,52000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,403c 6%,Full health + dental,10.0,,11/10
