timestamp,where_is_the_closest_major_city_or_hub,biotech_sub_industry,company_or_institution_name,company_details_publicprivatestartup_subsidiary_of,company_detail_approximate_company_size,role_title_of_current_position,highest_achieved_formal_education,years_of_experience,compensation_annual_base_salarypay,compensation_annual_target_bonus,compensation_annual_equity,compensation_sign_on_bonus_value,sign_on_relocation_assistance_total_value,what_country_do_you_work_in,compensation_overtime_pay,company_review,briefly_describe_your_position,list_other_relevant_and_recognized_certifications,compensation_retirement_benefits,compensation_healthcare_benefits,compensation_stock_options,compensation_most_recent_annual_yearly_raise,compensation_options,have_you_one_a_postdoc
2022-05-08 01:36:17.367000,San francisco,Pharmaceutical (including “big pharma”),,Private,5000+,Senior clinical scientist,PhD or Equivalent,11.0,220000.0,40000.0,45000.0,,,,,,,,,,,,,
2022-05-08 01:53:40.516000,MVA,Pharmaceutical (including “big pharma”),,Public,1000-5000,Scientist I,PhD or Equivalent,2.0,108000.0,15000.0,85000.0,,,,,,,,,,,,,
2022-05-08 02:16:35.826000,Bay area,Pharmaceutical (including “big pharma”),,Public,5000+,Research scientist,Masters or Equivalent,2.0,95000.0,6500.0,Not Applicable/None,5000.0,9000.0,,,,,,,,,,,
2022-05-08 02:25:37.306000,France,Pharmaceutical (including “big pharma”),Sanofi,Public,5000+,Principal scientist,M.D./PharmD/D.D.S. or Equivalent,7.0,75000.0,7500.0,11500.0,0.0,100000.0,,,,,,,,,,,
2022-05-08 02:53:07.378000,Los Angeles,Pharmaceutical (including “big pharma”),,Public,200-1000,Principal Engineer,Bachelors or Equivalent,8.0,190000.0,38000.0,Not Applicable/None,,10000.0,,,,,,,,,,,
2022-05-08 03:06:15.560000,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,1-50,Research Associate ,Bachelors or Equivalent,1.0,75000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 03:19:21.843000,Bay area,Pharmaceutical (including “big pharma”),Gilead,Public,5000+,SRA 1,Bachelors or Equivalent,5.0,100000.0,7500.0,5000.0,5000.0,5000.0,,,,,,,,,,,
2022-05-08 04:46:53.842000,Switzerland ,Research devices,,Private,50-200,Scientific Affairs Scientist,PhD or Equivalent,3.0,88000.0,7000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 05:23:46.446000,Philadelphia ,Pharmaceutical (including “big pharma”),Janssen,Public,5000+,Sr. Scientist ,PhD or Equivalent,6.0,142000.0,0.15,15% LTI for ~50% people in pay band,,,,,,,,,,,,,
2022-05-08 05:56:57.554000,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Scientist 1,PhD or Equivalent,1.0,101000.0,12000.0,Not Applicable/None,0.0,,,,,,,,,,,,
2022-05-08 06:48:44.907000,Boston,Academia/Research,Arbor Biotechnologies ,Start-up,50-200,Senior Research Associate ,Associate’s Degree or Equivalent,4.0,82000.0,6150.0,Not Applicable/None,,15000.0,,,,,,,,,,,
2022-05-08 06:56:01.646000,Baltimore/Washington DC,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist 1,PhD or Equivalent,0.0,88000.0,3500.0,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-05-08 06:59:06.841000,San Diego ,Pharmaceutical (including “big pharma”),,Public,50-200,Scientist I,PhD or Equivalent,4.0,120000.0,Not Applicable/None,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-05-08 07:01:37.728000,Boston,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist,PhD or Equivalent,2.0,124000.0,6000.0,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-05-08 07:05:28.702000,New York metropolitan area,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist II,Bachelors or Equivalent,3.0,83567.0,6267.0,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-05-08 07:29:42.394000,"Brighton, UK",Academia/Research,,Academia/College/Universities,1000-5000,Research Associate,Bachelors or Equivalent,0.0,35000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 07:30:52.290000,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Principal Research Associate II,Bachelors or Equivalent,9.0,105000.0,15000.0,Variable,,,,,,,,,,,,,
2022-05-08 08:00:39.116000,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Research Associate  2,Bachelors or Equivalent,5.0,82000.0,0.1,Not Applicable/None,7000.0,,,,,,,,,,,,
2022-05-08 08:09:11.085000,Thousand Oaks (Los Angeles),Pharmaceutical (including “big pharma”),Amgen,Public,5000+,Sr. Associate Manufacturing,Bachelors or Equivalent,4.0,85000.0,~5-10k (performance based),LTI ~2k,,,,,,,,,,,,,
2022-05-08 08:25:40.995000,Ireland,Pharmaceutical (including “big pharma”),,Private,200-1000,QA Analyst,Bachelors or Equivalent,1.0,41200.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 08:50:29.203000,New York City,Pharmaceutical (including “big pharma”),,Public,5000+,Senior scientist,Masters or Equivalent,4.0,142000.0,0.15,$8k,,,,,,,,,,,,,
2022-05-08 08:52:58.379000,"Chicago, IL",Pharmaceutical (including “big pharma”),AbbVie,Public,5000+,Senior Scientist I,PhD or Equivalent,2.0,114000.0,0.08,Not Applicable/None,20000.0,15000.0,,,,,,,,,,,
2022-05-08 08:55:36.256000,"Portland, OR",Medical Devices,,Private,1-50,Research associate II,Bachelors or Equivalent,4.0,72000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 09:18:47.644000,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Scientist I,PhD or Equivalent,4.0,122000.0,0.1,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-05-08 09:26:58.741000,"Indianapolis, IN",Pharmaceutical (including “big pharma”),Eli Lilly,Public,5000+,Scientist,Bachelors or Equivalent,0.0,66000.0,6k plus or minus some. Up to 14k,6% 401K match. Pension after 5 years. ,,15000.0,,,,,,,,,,,
2022-05-08 09:32:45.307000,"RTP, NC",Pharmaceutical (including “big pharma”),,Start-up,50-200,Director,Bachelors or Equivalent,18.0,200000.0,50000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 09:35:41.312000,Boston ,Medical Devices,,Public,200-1000,Production Associate 1,Associate’s Degree or Equivalent,1.0,55000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 09:46:16.341000,Boston,Pharmaceutical (including “big pharma”),Biogen,Public,5000+,Sr Scientist,PhD or Equivalent,4.0,148000.0,25900.0,24000.0,15000.0,40000.0,,,,,,,,,,,
2022-05-08 10:02:45.971000,Canada,Animal Health,,Public,1000-5000,Supervisor ,Bachelors or Equivalent,5.0,102000.0,10200.0,Not Applicable/None,5000.0,5000.0,,,,,,,,,,,
2022-05-08 10:09:13.395000,Boston,Academia/Research,DFCI,Private,200-1000,Intern,High School or Equivalent,1.0,0.0,Not Applicable/None,Not Applicable/None,0.0,,,,,,,,,,,,
2022-05-08 10:19:19.937000,Boston,Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Scientist I,Bachelors or Equivalent,5.0,89000.0,0.08,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 10:27:34.012000,"Cambridge, MA",Pharmaceutical (including “big pharma”),,Private,50-200,Senior Scientist,PhD or Equivalent,2.0,140000.0,0.16,Not Applicable/None,20000.0,,,,,,,,,,,,
2022-05-08 10:28:36.413000,Kansas City,Pharmaceutical (including “big pharma”),,Public,5000+,Associate Scientist,Bachelors or Equivalent,1.0,50000.0,Not Applicable/None,Not Applicable/None,0.0,,,,,,,,,,,,
2022-05-08 10:35:54.770000,Seattle,Analytical Devices,NanoString Technologies Inc.,Public,200-1000,Research Associate II,Masters or Equivalent,3.0,62500.0,3125.0,5000.0,,,,,,,,,,,,,
2022-05-08 10:49:47.294000,Orange County,Pharmaceutical (including “big pharma”),"Commissioning Agents, Inc",Private,1000-5000,CQV Engineer,Bachelors or Equivalent,0.0,81120.0,Not Applicable/None,12000.0,,,,,,,,,,,,,
2022-05-08 11:11:58.787000,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,Research Associate I,Bachelors or Equivalent,1.0,72000.0,7200.0,2500.0,0.0,0.0,,,,,,,,,,,
2022-05-08 11:25:28.779000,Phoenix,Medical Devices,,Public,200-1000,Field Applications Scientist,Masters or Equivalent,11.0,88400.0,8000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 11:34:31.040000,bay area,Pharmaceutical (including “big pharma”),,Public,50-200,principal scientist,PhD or Equivalent,8.0,170000.0,25000.0,30000.0,10000.0,,,,,,,,,,,,
2022-05-08 11:35:37.737000,bay area,Pharmaceutical (including “big pharma”),,Private,50-200,senior scientist 1,PhD or Equivalent,8.0,148000.0,25000.0,30000.0,5000.0,,,,,,,,,,,,
2022-05-08 11:38:03.260000,Seattle,Pharmaceutical (including “big pharma”),Just-Evotec Biologics,Subsidiary,200-1000,Associate Scientist,Bachelors or Equivalent,1.0,70000.0,3500.0,~3500,0.0,,,,,,,,,,,,
2022-05-08 11:42:22.248000,Pittsburgh,Academia/Research,,Academia/College/Universities,5000+,PhD Student,Bachelors or Equivalent,0.0,30000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 12:05:15.478000,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Senior associate scientist ,Bachelors or Equivalent,4.0,109000.0,16500.0,5000.0,,,,,,,,,,,,,
2022-05-08 12:33:42.255000,Bay Area,Pharmaceutical (including “big pharma”),,Public,200-1000,Sr. Scientist I,PhD or Equivalent,3.0,135000.0,13500.0,not sure,7500.0,0.0,,,,,,,,,,,
2022-05-08 12:44:07.518000,"Newark, CA",Pharmaceutical (including “big pharma”),,Public,200-1000,Research Associate I - Protein Purification,Bachelors or Equivalent,2.0,76650.0,7665.0,13000.0,,,,,,,,,,,,,
2022-05-08 13:06:44.770000,"Knoxville, TN",Academia/Research,ORNL,Government,5000+,Postdoc,PhD or Equivalent,1.0,70000.0,Not Applicable/None,Not Applicable/None,0.0,5000.0,,,,,,,,,,,
2022-05-08 13:07:30.399000,"Cambridge, UK",Pharmaceutical (including “big pharma”),,Start-up,1-50,Research Technican,Bachelors or Equivalent,0.0,25500.0,2550.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 13:20:19.713000,SF Bay Area,Pharmaceutical (including “big pharma”),,Private,50-200,Senior Scientist,PhD or Equivalent,7.0,185000.0,37000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 13:49:37.674000,"Cambridge,MA",Pharmaceutical (including “big pharma”),,Public,50-200,Scientist I,PhD or Equivalent,0.0,125.0,12000.0,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-05-08 14:03:00.144000,"Hayward, CA",Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist,PhD or Equivalent,0.0,135000.0,13500.0,Not Applicable/None,,5000.0,,,,,,,,,,,
2022-05-08 14:21:36.158000,Seattle,Pharmaceutical (including “big pharma”),,Subsidiary,50-200,Scientist,Bachelors or Equivalent,3.0,100000.0,6000.0,3000.0,,,,,,,,,,,,,
2022-05-08 14:52:23.295000,Bay Area,Pharmaceutical (including “big pharma”),,Public,200-1000,Principal Research Associate,Masters or Equivalent,6.0,118000.0,11800.0,Not Applicable/None,5000.0,12000.0,,,,,,,,,,,
2022-05-08 14:53:03.265000,Triangle,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Validation Engineer,Bachelors or Equivalent,10.0,95000.0,9500.0,Not Applicable/None,,18000.0,,,,,,,,,,,
2022-05-08 15:04:39.317000,Bay Area,Pharmaceutical (including “big pharma”),,Public,1000-5000,Sr. Manager,PhD or Equivalent,20.0,175000.0,Not Applicable/None,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-05-08 16:06:46.065000,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,MFG Supervisor,Masters or Equivalent,6.0,130000.0,13000.0,Not Applicable/None,10000.0,3000.0,,,,,,,,,,,
2022-05-08 16:26:13.171000,Seattle,Pharmaceutical (including “big pharma”),,Private,1000-5000,Specialist I,Bachelors or Equivalent,3.0,62000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 16:28:43.730000,"Waco, TX ",Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Laboratory Technician V,Bachelors or Equivalent,3.0,70720.0,0.03,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 16:39:11.334000,Bay Area,Academia/Research,,Start-up,1-50,Scientist,PhD or Equivalent,2.0,96000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 16:54:49.551000,New Haven,Pharmaceutical (including “big pharma”),,Public,1000-5000,Associate Scientist II,Bachelors or Equivalent,2.0,77000.0,0.07,10000 RSUs,,24000.0,,,,,,,,,,,
2022-05-08 16:57:43.114000,San Diego,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate II,Bachelors or Equivalent,2.0,88000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 17:17:25.555000,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist,PhD or Equivalent,2.0,135000.0,15.0,10000.0,,20000.0,,,,,,,,,,,
2022-05-08 17:47:11.151000,Belgium,Academia/Research,,Academia/College/Universities,200-1000,PhD student,Masters or Equivalent,0.0,27000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 18:32:24.652000,Chicago IL,Lab consumables,,Public,5000+,Scientist I,Bachelors or Equivalent,2.0,69300.0,7000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 19:27:10.667000,San Francisco,Pharmaceutical (including “big pharma”),,Start-up,1-50,Research Associate,Bachelors or Equivalent,1.0,80000.0,0.07,4750.0,5000.0,,,,,,,,,,,,
2022-05-08 19:34:54.604000,Los Angeles,Pharmaceutical (including “big pharma”),,Public,5000+,QC Analyst 2,Bachelors or Equivalent,1.0,70720.0,5000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 19:59:47.529000,"San Antonio, texas",Animal research (government),,Government,200-1000,Research associate,Bachelors or Equivalent,3.0,40000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 20:09:53.354000,Chicagoland,Pharmaceutical (including “big pharma”),,Public,5000+,QC Supervisor,Bachelors or Equivalent,12.0,98500.0,7000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 20:22:34.084000,RTP ,Medical testing ,,Private,5000+,Associate Chemist ,Bachelors or Equivalent,6.0,49920.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 20:23:41.198000,Research Triangle Park,Medical testing ,,Private,5000+,Research Associate II,Bachelors or Equivalent,6.0,70000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 20:31:33.849000,Santa Barbara ,Pharmaceutical (including “big pharma”),A,Public,5000+,QC Analyst I,Bachelors or Equivalent,5.0,72300.0,10.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 20:51:19.657000,St. Louis,Pharmaceutical (including “big pharma”),,Public,5000+,Senior scientist ,PhD or Equivalent,1.0,108000.0,7020.0,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-05-08 20:52:30.557000,Seattle,Pharmaceutical (including “big pharma”),Roche,Public,5000+,Senior Research Associate ,Bachelors or Equivalent,4.0,95000.0,5000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 21:18:25.859000,Boston,Medical Devices,,Private,1-50,Applications Engineer,PhD or Equivalent,2.0,106200.0,10620.0,Not Applicable/None,3000.0,4000.0,,,,,,,,,,,
2022-05-08 21:26:22.650000,Maryland,Pharmaceutical (including “big pharma”),,Private,1-50,Scientist I,PhD or Equivalent,1.0,95000.0,0.1,Not Applicable/None,2500.0,,,,,,,,,,,,
2022-05-08 21:57:36.640000,Philadelphia ,Academia/Research,,Academia/College/Universities,1000-5000,Research Associate III,Masters or Equivalent,15.0,56182.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 22:01:33.323000,Boston ,Pharmaceutical (including “big pharma”),,Public,5000+,Senior Scientist ,PhD or Equivalent,3.0,127000.0,0.15,0.07,0.0,0.0,,,,,,,,,,,
2022-05-08 22:05:18.807000,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Senior Scientist,PhD or Equivalent,1.0,144000.0,0.2,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 22:06:09.513000,New York,Pharmaceutical (including “big pharma”),,Start-up,1-50,Associate Project Manager,Bachelors or Equivalent,1.0,82350.0,8235.0,Not Applicable/None,3000.0,,,,,,,,,,,,
2022-05-08 22:10:56.610000,Pennsylvania,Pharmaceutical (including “big pharma”),,Public,5000+,Senior Manager,PhD or Equivalent,8.0,140000.0,25000.0,33000.0,,,,,,,,,,,,,
2022-05-08 22:21:30.171000,Washington DC,Pharmaceutical (including “big pharma”),GSK,Public,5000+,Production Associate Director,Bachelors or Equivalent,16.0,148000.0,0.18,35000.0,,,,,,,,,,,,,
2022-05-08 22:44:29.037000,Florida,Academia/Research,,Academia/College/Universities,5000+,Lab Tech,Bachelors or Equivalent,2.0,31200.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 22:46:51.573000,Boston,"I’m in flavors and fragrances department, but we also have nutraceuticals and biologics at the company. ",Conagen,Private,50-200,"Scientist II, Strain Development",PhD or Equivalent,2.0,85000.0,1300.0,Not Applicable/None,,5000.0,,,,,,,,,,,
2022-05-08 22:53:24.967000,"Houston, TX",Pharmaceutical (including “big pharma”),Immatics,Public,200-1000,Senior Manufacturing Associate ,Bachelors or Equivalent,6.0,81180.0,9741.0,3000.0,,,,,,,,,,,,,
2022-05-08 23:09:46.871000,Bay area ,Pharmaceutical (including “big pharma”),Startup ,Public,50-200,Science II,Bachelors or Equivalent,6.0,135000.0,20000.0,5000.0,,,,,,,,,,,,,
2022-05-08 23:17:51.973000,San Diego,Pharmaceutical (including “big pharma”),,Public,200-1000,Senior Research Associates  ,Bachelors or Equivalent,4.0,90000.0,0.2,RSU  yearly  ,10000.0,,,,,,,,,,,,
2022-05-08 23:33:24.849000,San Diego,Medical Devices,,Public,200-1000,Biochemist I,Bachelors or Equivalent,1.0,58000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-08 23:35:36.743000,Carlsbad,Medical Devices,Thermo Fisher,Public,5000+,Scientist II,Bachelors or Equivalent,7.0,75000.0,5625.0,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-05-08 23:47:45.887000,Midwest,Pharmaceutical (including “big pharma”),,Start-up,50-200,VP,PhD or Equivalent,15.0,265000.0,60000.0,250000.0,100000.0,60000.0,,,,,,,,,,,
2022-05-08 23:48:49.552000,"Houston, TX",Academia/Research,,Academia/College/Universities,5000+,Staff Scientist,PhD or Equivalent,6.0,56000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-09 00:25:59.603000,"Sacramento, CA",Academia/Research,UC Davis,Academia/College/Universities,5000+,SRA II (Lab Manager/Research Coordinator),Masters or Equivalent,1.0,55000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-09 00:32:10.293000,Toronto,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist,PhD or Equivalent,4.0,90000.0,10000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-09 00:36:53.451000,San Diego,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Research Associate II,Bachelors or Equivalent,6.0,93000.0,9300.0,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-05-09 00:39:29.499000,Los Angeles,Pharmaceutical (including “big pharma”),,Private,50-200,"Vice President, Business Development",Masters or Equivalent,11.0,230000.0,150000.0,100000.0,50000.0,,,,,,,,,,,,
2022-05-09 00:59:12.044000,UK,Pharmaceutical (including “big pharma”),Novo Nordisk,Public,5000+,Lab Coordinator/tech,Associate’s Degree or Equivalent,3.0,31200.0,3120.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-09 01:00:24.490000,UK,Pharmaceutical (including “big pharma”),Evotec,Public,1000-5000,Research associate ,Associate’s Degree or Equivalent,4.0,30000.0,1500.0,Not Applicable/None,500.0,,,,,,,,,,,,
2022-05-09 01:59:44.897000,"Bloomington, IN, USA",Pharmaceutical (including “big pharma”),Catalent,Public,5000+,Scientist,PhD or Equivalent,4.0,93000.0,Not Applicable/None,Not Applicable/None,3000.0,,,,,,,,,,,,
2022-05-09 06:01:04.321000,RTP,Pharmaceutical (including “big pharma”),Novartis ,Public,5000+,Specialist I,Bachelors or Equivalent,3.0,88000.0,7000.0,Not Applicable/None,7000.0,,,,,,,,,,,,
2022-05-09 06:03:36.788000,Bay area,Pharmaceutical (including “big pharma”),,Subsidiary,50-200,Research Associate ,Bachelors or Equivalent,1.0,70000.0,7000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-09 06:21:41.404000,"NY, NY",Pharmaceutical (including “big pharma”),,Private,5000+,Associate Scientist,Bachelors or Equivalent,4.0,70000.0,8000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-09 06:22:04.296000,Netherlands,Medical Devices,,Private,50-200,Molecular Biologist,Bachelors or Equivalent,1.0,40000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-09 07:43:42.322000,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Associate Director,Bachelors or Equivalent,7.0,192000.0,48000.0,95000.0,,,,,,,,,,,,,
2022-05-09 08:49:17.684000,New York,Pharmaceutical (including “big pharma”),Pfizer,Public,5000+,Associate Scientist,Bachelors or Equivalent,0.0,69000.0,Not Applicable/None,Not Applicable/None,5000.0,10000.0,,,,,,,,,,,
2022-05-09 09:12:18.555000,LA,Pharmaceutical (including “big pharma”),Amgen,Public,5000+,Scientist,PhD or Equivalent,2.0,140000.0,16800.0,10000.0,25000.0,60000.0,,,,,,,,,,,
2022-05-09 09:39:07.674000,Central Maine,Pharmaceutical (including “big pharma”),Eli Lilly and Co,Public,5000+,Senior TS/MS Scientist - Upstream Processes,Masters or Equivalent,3.0,80800.0,0.1,Not Applicable/None,5000.0,13000.0,,,,,,,,,,,
2022-05-09 10:02:03.770000,Boston,Pharmaceutical (including “big pharma”),,Start-up,50-200,Associate Scientist ,Masters or Equivalent,11.0,113000.0,10.0,20000.0,,,,,,,,,,,,,
2022-05-09 10:57:28.736000,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Sr. Research Associate,Bachelors or Equivalent,3.0,89000.0,8900.0,Not Applicable/None,7000.0,,,,,,,,,,,,
2022-05-09 11:27:55.196000,Ohio,Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist II,PhD or Equivalent,3.0,115000.0,17000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-09 11:28:08.482000,Ohio,Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist II,PhD or Equivalent,3.0,115000.0,17000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-09 15:07:26.031000,"Salt Lake City, UT",Pharmaceutical (including “big pharma”),BIOMERIEUX ,Public,5000+,Associate Scientist,Bachelors or Equivalent,1.0,28.37,2360.0,Not Applicable/None,,,,,,,,,,,,,
