timestamp,what_country_do_you_work_in,where_is_the_closest_major_city_or_hub,where_are_you_located,biotech_sub_industry,company_or_institution_name,company_details_publicprivatestartup_subsidiary_of,company_detail_approximate_company_size,role_title_of_current_position,what_degrees_do_you_have,list_other_relevant_and_recognized_certifications,briefly_describe_your_position,years_of_experience,compensation_annual_base_salarypay,compensation_overtime_pay,compensation_annual_target_bonus,compensation_annual_equitystock_option,compensation_most_recent_annual_yearly_raise,compensation_sign_on_bonus_value,compensation_sign_on_stockequity_options,compensation_retirement_benefits,compensation_retirement_percent_match,compensation_healthcare_benefits,sign_on_relocation_assistance_total_value,company_review,work_life_balance_on_average_how_many_hours_do_you_work_per_week,survey_feedback
2024-12-29 01:37:21.888000,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,1-50,Principal Scientist ,PhD or Equivalent,None,Pre-Clinical R&D,10.0,163000.0,N/A (no overtime/salaried),22000.0,Not Applicable/None,3.0,,,401K 3%,,High Deductible but HSA contributions cover it.,,,36 - 40,
2024-12-29 01:13:24.144000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Industrial Biotech,Prefer not to say,Start-up,200-1000,Quality Control Microbiologist I,Bachelors or Equivalent,None,,3.0,57000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,401k match,,,,Great Company so far,41 - 45,
2024-12-27 14:52:58.659000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Takeda,Public,5000+,Sr Manufacturing Associate,Bachelors or Equivalent,None,Upstream/Tech Transfer,3.0,63000.0,1.5x = OT 2.5x =Double OT,5000.0,Not Applicable/None,3.99,,,4% 401k match,,HSA match,,,41 - 45,
2024-12-27 05:54:07.062000,,,Iraq,Big Pharmaceuticals,Boehringer Ingelheim,Private,5000+,Medical Science Liasion ,"Masters or Equivalent, PharmD or Equivalent",None,Medical Science Liasion covering Iraq,8.0,45000.0,N/A (no overtime/salaried),0.15,Not Applicable/None,Company/Institution does not have annual yearly raise,0.0,0.0,0.0,,0.0,0.0,,46 - 50,
2024-12-26 18:23:31.293000,,,"Midwest (From OH to KS, North to ND)",Contract Research Organization,Prefer not to say,Private,1000-5000,Clinical Trial Coordinator,Masters or Equivalent,None,,4.0,108160.0,1.5x base,Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,0.0,N/A,3% match,,,,Contract position,36 - 40,
2024-12-25 13:56:22.679000,,,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Public,50-200,Senior Scientist,Bachelors or Equivalent,None,,11.0,130000.0,N/A (no overtime/salaried),0.1,I don't know beyond sign on,Have not been long enough to have an annual yearly raise,,,4% 401k match,,meh,,,36 - 40,
2024-12-25 11:12:37.384000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Sanofi,Public,5000+,Senior Research Associate,Masters or Equivalent,None,,3.0,99000.0,N/A (no overtime/salaried),0.1,Not Applicable/None,0.03,10000.0,,150% 401K match on first 6%,,,,,41 - 45,
2024-12-23 12:23:35.910000,,,"New England (MA, CT, RI, NH, VT, ME)",Contract Research Organization,Prefer not to say,Start-up,1-50,Research Associate ,Bachelors or Equivalent,None,Downstream processing,2.0,77000.0,N/A (no overtime/salaried),5880.0,Not Applicable/None,0.1,2000.0,,NA,,,,,41 - 45,
2024-12-22 19:50:15.979000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,1-50,ML Scientist,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",None,Develop ML models for drug development. The ML team is just me and cofounder. No direct reports.,0.0,170000.0,N/A (no overtime/salaried),Not Applicable/None,Options vested over 4 years. Not sure what the value is since it's paper money.,Have not been long enough to have an annual yearly raise,0.0,0.0,"401k, no match",,"Bare bones health, vision, dental",,"Decent experience so far, wish I was on a larger team so that there's at least something with forward momentum happening when I get stuck. Right now if I'm stuck the whole company's ML is stuck. Company is mostly wetlab and seems a bit hostile to ML.",36 - 40,
2024-12-22 19:20:13.803000,,,"New England (MA, CT, RI, NH, VT, ME)",Biotech,Prefer not to say,Public,200-1000,Associate Director,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,,18.0,180000.0,N/A (no overtime/salaried),20000.0,20000.0,4.0,,,401k match,,,,,,
2024-12-21 14:46:28.020000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,50-200,Scientist,PhD or Equivalent,None,Bioinformatics ,2.0,133000.0,N/A (no overtime/salaried),13000.0,Not Applicable/None,0.05,15000.0,"12000 at signing, vested over 4 years",No 401k match,,,,,36 - 40,
2024-12-21 14:25:52.187000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Contract Manufacturing Organization,Prefer not to say,Public,200-1000,Quality Control Supervisor,"High School or Equivalent, Bachelors or Equivalent",None,Manage stability projects and lab for qc,9.0,100500.0,N/A (no overtime/salaried),10% no bonus 2 years,Not Applicable/None,0.02,,,"9% match after 3 years, 6% vested",,Health insurance dental optometry ,,3/5 runs too lean,46 - 50,
2024-12-21 12:03:01.589000,,,"Pharma Central (NY, NJ, PA)",Contract Manufacturing Organization,Prefer not to say,Private,50-200,Senior Manager,Masters or Equivalent,None,Senior Manager Quality Control ,12.0,140000.0,N/A (no overtime/salaried),21000.0,Not Applicable/None,Company/Institution does not have annual yearly raise,10000.0,,401k matcj,,,,,,
2024-12-21 11:25:28.518000,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Associate Scientist,Bachelors or Equivalent,None,Associate Scientist - assay development in vaccine research and development,2.0,72000.0,N/A (no overtime/salaried),Idk,Not Applicable/None,3.5% basic inflation raise,5000.0,N/A until you get to a higher position like senior scientist,7% 401k match,,"Company does HSA contributions. BlueCross BlueShield, $130/month for HSA plan, $1500 out of pocket",NA,"3/5 some of the higher up managers are very toxic, a lot of gossip, a competitive culture; benefits are good, they also provide tuition reimbursement so I'm getting my masters ",36 - 40,
2024-12-20 21:41:08.013000,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Associate Director,Bachelors or Equivalent,None,Data Management Operations - project manager with some data analytics,10.0,165000.0,N/A (no overtime/salaried),25000.0,21000.0,0.065,0.0,0.0,"401k match 2%, pension (I think 1.5 or 2%)",,,,,41 - 45,
2024-12-20 11:57:35.489000,,,United Kingdom and Ireland,Contract Manufacturing Organization,Piramal,Private,1000-5000,MSAT Bioprocess Engineer,Masters or Equivalent,None,"MSAT, design processes for manufacture.",4.0,37000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,0.07,,,,,36 - 40,
2024-12-20 08:53:08.616000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Industrial Biotech,Prefer not to say,Private,1-50,Computational Biologist,PhD or Equivalent,None,,0.0,120000.0,N/A (no overtime/salaried),12000.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,3.5% 401k,,"Health, vision, dental",,,36 - 40,
2024-12-20 01:01:29.628000,,,West Coast (California & Pacific Northwest),Chemical,Prefer not to say,Subsidiary,50-200,Business Development Specialist,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,,2.0,95000.0,N/A (no overtime/salaried),24300.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,0.05,,HSA,,,41 - 45,
2024-12-20 00:49:15.780000,,,West Coast (California & Pacific Northwest),cell/gene therapy,Prefer not to say,Public,200-1000,"Vice President, Research and Dev.",PhD or Equivalent,None,,15.0,350000.0,N/A (no overtime/salaried),"~$100,000","tens to low hundred thousand per year, dep. on stock price",3-4%,,,401k match,,,,,51 - 60,
2024-12-20 00:43:02.438000,,,"New England (MA, CT, RI, NH, VT, ME)",Start up,Prefer not to say,Public,50-200,Sr. Scientist,Bachelors or Equivalent,None,"Process development Lead, managing 2 junior scientist ",8.0,145000.0,N/A (no overtime/salaried),21500.0,2500 Options 1700 rsu,5.0,10000.0,4000 option,6% match,,"100% coverage, pay HSA to cover deductible ",,,41 - 45,
2024-12-20 00:02:09.392000,,,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Start-up,1-50,Associate Scientist,Bachelors or Equivalent,None,"Associate Scientist - manage reagent validation, QC, contribute to QA, manage 1 junior RA",4.0,100000.0,N/A (no overtime/salaried),15000.0,Not Applicable/None,12.0,0.0,0.0,5% 401(k),,"$1,000 HSA",0.0,8/10,41 - 45,
2024-12-19 22:39:45.161000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,200-1000,QA Specialist I,Bachelors or Equivalent,None,"QA support for quality events (deviation, change controls, CAPAs, etc.) and equipment validation ",4.0,105000.0,N/A (no overtime/salaried),0.125,250 shares * ~$30/share = ~7500/year,Have not been long enough to have an annual yearly raise,0.0,N/A,401K: 50% match of the first 6% ,,"BCBS, single, $89/paycheck (every 2 weeks), HDHP $2500 deductible, $1250 from employer for HSA, dental $6/paycheck, vision 0.78/paycheck ",N/A,,36 - 40,"amazing, i love this. thank you for creating this! 

one thing is i would prefer clarity around the annual equity/stock option (my company has 2- an “option award” in the form of purchasing 2,000 shares and vest 25% each year (total 4 years vest) or RSUs which is 1000 shares with 4 year vest) so i just filled out based on RSUs "
2024-12-19 22:11:29.330000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Big Pharmaceuticals,Prefer not to say,Subsidiary,200-1000,Research Associate I,Bachelors or Equivalent,None,Analytical Development,0.0,65000.0,N/A (no overtime/salaried),6500.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,0.0,0.0,4% - 401k match,,Cigna - Very cheap insurance (with dental + vision),,,41 - 45,
2024-12-19 21:03:48.640000,,,"Pharma Central (NY, NJ, PA)",Regulatory Affairs,Prefer not to say,Public,50-200,Exec Director,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",PMP,,25.0,314000.0,N/A (no overtime/salaried),50000.0,Not Applicable/None,0.03,,,401k match 4%,,HRA,,,36 - 40,
2024-12-19 19:29:09.092000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Project Manager,"High School or Equivalent, Bachelors or Equivalent",PMP,Contract PM working in med device,6.0,154000.0,1.5x base,Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,N/A,,,,,Less than 30,
2024-12-19 18:55:59.071000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,Principal Data Scientist ,Bachelors or Equivalent,None,Data strategy for operations,18.0,168000.0,N/A (no overtime/salaried),20000.0,12000.0,0.03,,,5% match,,PPO plan,,,36 - 40,
2024-12-19 16:22:17.732000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,50-200,Research Associate II,Bachelors or Equivalent,None,DMPK,3.0,98000.0,N/A (no overtime/salaried),0.1,2200 shares,Have not been long enough to have an annual yearly raise,5000.0,,401k match up to $5k,,Company covers 97% of cost,,"very nice culture, good colleagues.",36 - 40,
2024-12-19 14:00:44.273000,,,"Elkton, Virginia",Big Pharmaceuticals,Merck,Public,5000+,Specialist - Engineering,Bachelors or Equivalent,None,"Technical Operation Engineer responsible for supporting dug manufacturing, writing deviations, implementing change controls.",5.0,95638.0,N/A (no overtime/salaried),9563.8,Not Applicable/None,4.0,,,4.5% match and pension,,Blue Cross Blue Shield of NJ. $95 a month + $10 for dental,,,46 - 50,
2024-12-19 13:58:34.699000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Scientist,Bachelors or Equivalent,HT,Cancer Immunology and Cell Therapy,14.0,132000.0,N/A (no overtime/salaried),0.1,Not Applicable/None,0.03,,,401 6%match,,,,,41 - 45,
2024-12-19 13:51:27.205000,,,West Coast (California & Pacific Northwest),Clinical Pharmaceuticals,Prefer not to say,Public,200-1000,Manufacturing Associate I,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,MA I - upstream nucleic acids manufacturing and minor process dev. ,1.0,70720.0,1.5x base,5300.0,3400.0,Have not been long enough to have an annual yearly raise,,"RSUs, ISOs",6% 401K match,,Anthem BlueCross PPO and HMO plans available,,"TBH, this is the best job I have ever worked (but its also my first industry job). 10/10",41 - 45,
2024-12-19 13:34:19.146000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,1000-5000,Analyst,Masters or Equivalent,None,"Competitive intelligence and market insights across the portfolio, from pre-IND to in-market competition to LCM; US, EU. ",5.0,68000.0,N/A (no overtime/salaried),3000.0,30000.0,0.04,0.0,Options vested over 4 years,50% of first 6% salary to 401k,,About $40/mo for high deductible plan. 4K deductible. ,,Great until it wasn’t—internal progression/movement (vertical or horizontal) very difficult.,41 - 45,
2024-12-19 13:18:56.292000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Medical/Health Devices,Prefer not to say,Private,200-1000,Scientist,PhD or Equivalent,None,"Downstream Protein Processing, assay development ",1.0,89000.0,N/A (no overtime/salaried),3100.0,Not Applicable/None,3.0,5000.0,,4% 401k match,,"3300 deductible on HDHP, 1600 on PPO, 500 employer HSA contribution if opting for HDHP","Up to 10,000 (reimbursement only, no lump sum) ",,36 - 40,
2024-12-19 12:55:12.563000,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Bristol Myers Squibb ,Public,5000+,Validation Commissioning Qualification Specialist,Bachelors or Equivalent,None,"The Validation Engineer supports the successful implementation of laboratory equipment and systems at multi-use sites through interaction with internal customers and external service providers. The incumbent in this role, contributes to the completion of milestones associated with facility, utility, and equipment qualification. With minimum supervision and given general instructions, this individual independently carries out routine tasks and functions, and uses basic analytical skills to recognize and solve common problems of limited scope",5.0,107868.0,1.5,Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,401k,,,,,,
2024-12-19 10:18:17.432000,,,"Midwest (From OH to KS, North to ND)",Animal Health,Merck,Public,5000+,Senior Quality Assurance Technician,"High School or Equivalent, Bachelors or Equivalent",None,,4.0,62000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,2000.0,,401k,,,,,36 - 40,
2024-12-19 08:44:04.195000,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,200-1000,Manager ,Bachelors or Equivalent,None,,3.0,155000.0,N/A (no overtime/salaried),23250.0,28800.0,Have not been long enough to have an annual yearly raise,,,4% match,,100% covered,,,Less than 30,
2024-12-19 05:33:02.150000,,,Australia,Contract Manufacturing Organization,Thermofisher Scientific,Public,5000+,MBP Scientist II,Bachelors or Equivalent,None,Prepare media and buffer solutions to support CDM,0.0,42500.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,-,,-,-,,41 - 45,
2024-12-19 04:30:24.505000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Big Pharmaceuticals,Merck,Public,5000+,Senior Specialist ,Bachelors or Equivalent,None,,8.0,112500.0,N/A (no overtime/salaried),14625.0,Not Applicable/None,2.0,0.0,0.0,4.5% if contribute 6%. Pension has a scale of 4.5%-10% based on age and tenure,,Decent insurance. Only one plan available. ,,,46 - 50,
2024-12-19 03:20:08.759000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Eikon,Start-up,200-1000,Research Associate II,"High School or Equivalent, Bachelors or Equivalent",None,Biological side of drug discovery. Cell culture and compound treatment,2.0,95000.0,N/A (no overtime/salaried),9500.0,3.0,4.0,0.0,,401k 4% match,,"Medical ~$20 a month, free vision and dental.",,,41 - 45,Nice
2024-12-19 02:10:23.534000,,,"Midwest (From OH to KS, North to ND)",Contract Manufacturing Organization,Catalent,Private,200-1000,Biomanufacturing Supervisor,Associate’s Degree or Equivalent,None,,4.0,96000.0,N/A (no overtime/salaried),0.1,Not Applicable/None,0.04,,,Company match of 401k up to 5%,,,,,41 - 45,
2024-12-19 01:35:50.581000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,BioMarin Pharmaceutical,Private,1000-5000,Research Associate 2,"High School or Equivalent, Bachelors or Equivalent",None,,4.0,90300.0,N/A (no overtime/salaried),10836.0,9000.0,0.035,,"$50,000 Sign on RSU, 4 year vesting (2021)",6% 401K Match,,,,,,
2024-12-19 00:36:07.527000,,,Germany,Industrial Biotech,Prefer not to say,Public,200-1000,Associate Director,PhD or Equivalent,None,Team lead,8.0,90000.0,N/A (no overtime/salaried),10000.0,Not Applicable/None,Company/Institution does not have annual yearly raise,,,Pension and Arbeitgeber Zuschuss to private insurance ,,Standard in Germany ,,,41 - 45,
2024-12-18 23:42:19.869000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,200-1000,VP Medical Affairs,PhD or Equivalent,None,,12.0,345000.0,N/A (no overtime/salaried),103500.0,175000.0,0.04,25000.0,1000000.0,401k match,,,,,46 - 50,
2024-12-18 22:27:28.973000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Big Pharmaceuticals,Pfizwr,Public,5000+,Medical writer (manager),PharmD or Equivalent,None,,3.0,135000.0,N/A (no overtime/salaried),0.125,10k,0.0325,5000.0,,Match 100% of 4.5% vested immediately. Extra retirement savings contribution vested after 3 years. ,,Many plans but access to HSA via HDHP. Company contributes to HSA. Pretty good insurance. ,,,30 - 35,
2024-12-18 22:12:25.953000,,,"Midwest (From OH to KS, North to ND)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Sr scientist,Masters or Equivalent,None,Preclinical Cell therapy,7.0,100000.0,N/A (no overtime/salaried),10000.0,5000.0,3.0,,,401k 6% match and pension,,,,,41 - 45,
2024-12-18 21:52:44.986000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Sanofi,Public,5000+,Scientist I,PhD or Equivalent,None,,6.0,114500.0,N/A (no overtime/salaried),17175.0,Not Applicable/None,Company/Institution does not have annual yearly raise,0.0,0.0,150% up to 6%,,,,,41 - 45,
2024-12-18 21:52:41.222000,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Associate Scientist ,Masters or Equivalent,None,,2.0,86000.0,N/A (no overtime/salaried),0.08,Not Applicable/None,0.02,,,401k match 50% of first 10% contribution,,HSA,,,41 - 45,
2024-12-18 21:32:06.116000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,200-1000,Scientist I,PhD or Equivalent,None,,1.0,138000.0,N/A (no overtime/salaried),0.12,75000.0,Have not been long enough to have an annual yearly raise,,,401k 100% of 6%,,,,,36 - 40,
2024-12-18 21:14:05.298000,,,"South & Mountain West (TX to AZ, North to MT)",Biotech Equipment,Prefer not to say,Public,50-200,Field application specialist ,Masters or Equivalent,None,,15.0,130000.0,N/A (no overtime/salaried),13000.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,401k 4% match,,,,,Less than 30,
2024-12-18 21:13:15.429000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,5000+,Sr mechanical engineer,Bachelors or Equivalent,None,Lead engineering workstream for consumables manufacturing ,4.0,120000.0,N/A (no overtime/salaried),0.09,Not Applicable/None,Have not been long enough to have an annual yearly raise,5000.0,,6% 401k,,,,,36 - 40,
2024-12-18 20:43:13.252000,,,Canada,Big Pharmaceuticals,Merck,Subsidiary,200-1000,Senior Specialist,Bachelors or Equivalent,None,Brand Lead,2.0,115000.0,N/A (no overtime/salaried),16000.0,Not Applicable/None,4.0,0.0,0.0,401k,,,,,36 - 40,
2024-12-18 20:40:05.518000,,,"New England (MA, CT, RI, NH, VT, ME)",Medical/Health Devices,Prefer not to say,Public,200-1000,Scientist II,Bachelors or Equivalent,None,"Manage a small team (1-2 RAs), analytical development CMC",18.0,140000.0,N/A (no overtime/salaried),14000.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,0.0,3000.0,2% match,,,,,46 - 50,
2024-12-18 20:31:21.330000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Contract Manufacturing Organization,Prefer not to say,Private,200-1000,Process Engineer ,Bachelors or Equivalent,None,,5.0,85000.0,N/A (no overtime/salaried),4000.0,Not Applicable/None,5.0,,,4% match for 401k,,Free HSA plan ,,,36 - 40,
2024-12-18 20:11:14.871000,,,West Coast (California & Pacific Northwest),Small Pharma,Prefer not to say,Public,50-200,Clinical Research Associate ,"Bachelors or Equivalent, Masters or Equivalent",CCRP,,3.0,115000.0,N/A (no overtime/salaried),0.1,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,401k match at 4%,,,,,36 - 40,
2024-12-18 19:45:15.152000,,,West Coast (California & Pacific Northwest),Academia/Research/Institution,Prefer not to say,Academia/College/Universities,1000-5000,Sr Scientist,PhD or Equivalent,None,SR scientist running a new center focused on CRISPR editing ,3.0,145000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.04,,,8% 401k,,,,,36 - 40,
2024-12-18 19:22:55.589000,,,Switzerland,Big Pharmaceuticals,Prefer not to say,Private,5000+,Lab technician ,Bachelors or Equivalent,None,Lab technician in microbial R&D DSP,1.0,70000.0,1.5,5000.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,500.0,,-,,,,,41 - 45,
2024-12-18 19:13:17.547000,,,"New England (MA, CT, RI, NH, VT, ME)",Academia/Research/Institution,Prefer not to say,Subsidiary,200-1000,Specialist III (G&A),Bachelors or Equivalent,None,,7.0,98800.0,N/A (no overtime/salaried),11856.0,Not Applicable/None,4.0,,,401k with 2.5% match,,,,,36 - 40,
2024-12-18 19:11:37.801000,,,Canada,Contract Research Organization,Prefer not to say,Private,50-200,Project Manager ,Bachelors or Equivalent,None,,3.0,85000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.05,0.0,0.0,"Pension available, company adds 4% minimum ",,Insurance and costs covered,,,36 - 40,
2024-12-18 19:06:00.111000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Pfizer,Public,5000+,Senior Scientist,PhD or Equivalent,None,,3.0,140000.0,N/A (no overtime/salaried),17500.0,Not Applicable/None,3.0,10000.0,,4.5% match on 6% and additional 5%,,$1500 to HSA,Yeah paid move,,36 - 40,
2024-12-18 19:01:18.795000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Genomics company,Start-up,1-50,Field application scientist,PhD or Equivalent,None,,3.0,130000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,"401k, no match",,,,,36 - 40,
2024-12-18 19:00:14.446000,,,"Midwest (From OH to KS, North to ND)",Big Pharmaceuticals,Prefer not to say,Private,5000+,R&D Technician I ,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",RLAT,,7.0,76336.0,1.5,7400.0,Not Applicable/None,4.0,,,"Pension, 401K match 5%",,$85.00 every 2 weeks,,,41 - 45,
2024-12-18 18:50:38.172000,,,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Scientist ,Masters or Equivalent,None,Formulation Scientist- Supper biopharmaceutical drug product development during preclinical and clinical project stages. ,5.0,84500.0,N/A (no overtime/salaried),8450.0,5000.0,0.02,0.0,0.0,Up to 6% match on 401k,,HSA,,,46 - 50,
