Timestamp,Email Address,Which country do you work in?,What City do you work in?,Which US state do you work in?,Which Canadian Province do you work in?,Company or Institution Name,Which of the following best describes your company?,Biotech sub industry?,Company Detail - Approximate Company Size,Provide a review and rate your company/institution and experience,"Work Life Balance - On average, how many hours do you work per week","What is your official job title?

This should match the title that was present on your offer letter. 

Some examples: Research Associate, Scientist, Scientist I/II/III, Senior Scientist, Principal Scientist, Manager, Lab Technician, VP, Director etc.

If your job title includes additional detail, please include e.g. Director of Bioinformatics","Which department best describes your role? If you can't find one that fits your specific role, select 'Other' and describe
",Briefly describe your position and responsibilities,"Do you work In-Person, Remote, or Hybrid?",How many days on average per week do you work from home?,What degrees do you have?,"How many total years of experience in post-docs do you have? (If none, enter 0)","List other relevant and recognized certifications
","Please enter your total years of experience in the field

DO NOT INCLUDE years in BSc, Masters, PhD, or post-bacc/post-doc",What currency will you be answering these questions in?,Are you a salaried or hourly employee,"If you are an hourly employee, how many hours per week do you work?","Annual Base Salary 

What is your annual BASE salary? Do not include bonus or stocks

If you are paid hourly, multiply by 2080 to convert to yearly (assuming you work 40hr/week)","Overtime Pay

How is overtime handled on a per hour basis? (1.5x base, 2x base, etc)","Annual Target Bonus in PERCENTAGE (%)

This should be stipulated prior to your employment. DO NOT include one-time bonuses (spot bonuses, signing bonuses, referral bonuses).","Commission

If you are compensated with commission how much is your commission? (Please indicate if answering in percentage or absolute monetary value)","Annual Equity/Stock Option

Please enter the grant/market value of your long-term incentive. Use the annualized amount if distributed over several years. Enter 0 if none or not applicable. 

DO NOT include equity when signing on or one-time equity bonuses","Most recent annual yearly raise (%)

Companies typically do yearly raises across the board for all employees. This is not to be confused with promotions or raises that were requested.
","[Sign on] Bonus Value
This is a one-time bonus you may have received when signing-on. This is not a bonus that reoccurs","[Sign on] Stock/Equity Options
Briefly describe sign on stock/equity options that is available","[Sign on] Relocation Assistance Total Value

This is the total value of the relocation assistance including but not limited to tax-true ups company may have paid, movers expenses, shipping of vehicles, temporary living, etc.","Retirement Benefits (free text)
Briefly describe retirement benefits. For example 401k match %, pension, etc","Healthcare Benefits (free text)
Describe healthcare benefits - costs, deductibles, outfamily plan, insurance provider, total out of pocket, HSA contributions, etc","Select the highest level of education that you have that's relevant to your occupation. If you have multiple (e.g. PhD + MD) please select ""Other"" and describe",How many years have you been working at this current position?,What currency will you be answering these quesitons in?,Survey feedback,"Any other type of annual bonus? Please describe.

 DO NOT include one-time bonuses (spot bonuses, signing bonuses, referral bonuses).
","How much of your bonus did you receive in the last cycle?

e.g. maybe your target bonus was 10%, but you actually got 8% this year. So here you would write ""8%""
"
12/11/2025 1:01:04,,United States,,Arizona,,Prefer not to say,Private,Cell and Gene Therapy,50-200,,36 - 40,Regulatory Affairs Manager,Regulatory ,,Remote,5,,3,,2,,Salaried,Not applicable,120000,N/A (no overtime/am salaried),14,No commission,2000,Have not been long enough to have an annual yearly raise,3000,250 RSUs per year for 4 years,,401k match 5%,"HSA 1200USD per year, high deductible plan with 2000 USD deductible",MD + MS,1,USD - US dollar,,,14
12/10/2025 21:17:16,,United States,,California,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,30 - 35,scientist II,Data Science / Bioinformatics,AI/ML,Hybrid,3,,0,,0,,Salaried,Not applicable,151000,N/A (no overtime/am salaried),10,No commission,0,Have not been long enough to have an annual yearly raise,,,,,,PhD,0,USD - US dollar,,none,
12/10/2025 12:33:11,,United States,,New York,,Prefer not to say,Public,Industrial Biotech,5000+,,41 - 45,Senior Associate Scientist,Research,,In-Person,0,,0,,6,,Salaried,Not applicable,101359,N/A (no overtime/am salaried),11,No commission,20000,4.5,,,,,,Masters,4,USD - US dollar,,,12.7
12/9/2025 21:51:46,,United States,,Massachusetts,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),5000+,,46 - 50,"Senior Associate, QC",Quality,in-process analytical testing of biologic pharmaceutical drug products,In-Person,0,,0,Hazmat Emergency Response Certification,10,,Hourly,"Panama Schedule, 36 hours one week, 48 hours the next",75000,1.5X or 2.0X depending on circumstance,5,No commission,3500,3%,0,0,0,"7% 401K match, 4.5% discretionary 401K contribution - neither require a vesting period",350 for employer HSA contribution,Masters,2,USD - US dollar,,3% annual pay increase,
12/4/2025 12:52:50,,United States,,California,,Prefer not to say,Private,Cell and Gene Therapy,200-1000,,41 - 45,Senior Scientist I,Data Science / Bioinformatics,,Remote,5,,3,,1,,Salaried,Not applicable,170000,N/A (no overtime/am salaried),20,No commission,0,Have not been long enough to have an annual yearly raise,,,,5% match ,,PhD,1,USD - US dollar,,,20
12/4/2025 12:10:29,,United States,,North Carolina,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,,41 - 45,Director of Molecular and Cellular Pharmacology,Research,,In-Person,0.5,,8,,4,,Salaried,Not applicable,170000,N/A (no overtime/am salaried),15,No commission,0,Company/Institution does not have annual yearly raise,3000,,,401k match,,PhD,4,USD - US dollar,,,16
12/3/2025 23:50:22,,Canada,,,British Columbia,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,,36 - 40,Research Associate,Research,Evaluate lipid naoparticle-based therapeutics in preclinical mouse models using primarily flow cytometry ,In-Person,1,,0,,2,,Salaried,Not applicable,67500,N/A (no overtime/am salaried),,No commission,0,4,,,6000,,,Masters,1,CAD - Canadian dollar,,,
12/3/2025 17:03:38,,United States,,Pennsylvania,,Eurofins Lancaster Labs,Public,Contract Research Organization,1000-5000,,41 - 45,Scientist II,Analytical Testing,,In-Person,0,,0,,2,,Salaried,Not applicable,54500,N/A (no overtime/am salaried),,No commission,0,3,,,,,,Bachelors,2.5,USD - US dollar,,,
12/3/2025 15:04:08,,United States,,California,,Prefer not to say,Private,Industrial Biotech,1-50,Stressfull but great and growing,51 - 60,Director,Data Science / Bioinformatics,Computational biology research and platform development,Hybrid,3,,0,,3,,Salaried,Not applicable,190000,N/A (no overtime/am salaried),0,No commission,250000,8,15000,Equity grant,0,401k match 4.5%,"Fully covered primary, 70% coverage for dependents",PhD,1,USD - US dollar,,,0
12/1/2025 12:08:21,,United States,,Virginia,,Thermofisher,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Assistant Scientist,Clinical,"Extract human/animal samples, inject into LCMS/MS.
Process results
Prepare reagents
Troubleshoot system
Prepare suitability extracts",In-Person,0,,0,,1,,Hourly,42,43680,1.5x base,5,No commission,0,Company/Institution does not have annual yearly raise,,,,401k match 6%,,Bachelors,1,USD - US dollar,,,0
11/28/2025 20:51:11,,Canada,,,Alberta,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,36 - 40,Principal Scientist,Analytical Development,Method development and project management,In-Person,0,,0,,9,,Salaried,Not applicable,168000,N/A (no overtime/am salaried),20,No commission,100000,10%,,,,,,PhD,9,CAD - Canadian dollar,,,20
11/27/2025 23:24:31,,United States,,New Jersey,,BMS,Public,Pharmaceutical (including “big pharma”),5000+,"there are supportive managers and unsupportive managers-- depending on who you have and your dept, your experience will make or break. mid and upper level management aren't strong leaders all throughout, which makes aligning on goals and work more difficult. ",36 - 40,Senior Scientist- Packaging,Operations,"primary packaging engineer for parenteral products (typically biologics): create and maintain component specs, author P.7 for dossiers, etc.",Hybrid,2,,0,,5,,Salaried,Not applicable,125000,N/A (no overtime/am salaried),10,No commission,9000,Company/Institution does not have annual yearly raise,2000,,7500,6% 401k match,"HSA through fidelity, aetna for health insurance, metlife for dental, eyemed for vision",Masters,1,USD - US dollar,nice survey! ,,9
11/26/2025 9:57:49,,United States,,North Carolina,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1000-5000,3.5/5,41 - 45,Scientist,Quality,QC- Micro ,In-Person,0,,0,,6,,Hourly,40,64800,1.5x base,5,No commission,0,2.60%,,,,6%,"UHC, $750 HSA contribution, LDHP PPO available",Bachelors,3,USD - US dollar,Survey is very helpful and informative. We need all the salary transparency we can get.,Referral,2-3% every year since 2022
11/24/2025 18:50:27,,United States,,Massachusetts,,Prefer not to say,Public,Cell and Gene Therapy,5000+,,36 - 40,Senior Associate Scientist,Research,Wet-lab research in oncology cell therapy ,In-Person,0,,0,,5,,Salaried,Not applicable,105000,N/A (no overtime/am salaried),9.5,No commission,20000,Have not been long enough to have an annual yearly raise,,,,,,Bachelors,1,USD - US dollar,,,
11/24/2025 13:37:29,,United States,,Massachusetts,,Prefer not to say,Public,Industrial Biotech,1000-5000,,30 - 35,Scientist ,Research,,In-Person,0,,0,,3,,Salaried,Not applicable,139200,N/A (no overtime/am salaried),15,No commission,0,Company/Institution does not have annual yearly raise,,,,,,PhD,3,USD - US dollar,,,15
11/23/2025 17:03:42,,United States,,California,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,,41 - 45,Principal Scientist,Research,Head of in-lab protein upstream/downstream process design and execution. In lab doing experiment.,In-Person,0,,1,,13,,Salaried,Not applicable,175,N/A (no overtime/am salaried),10,No commission,0,Have not been long enough to have an annual yearly raise,,,,401k,Full ride,PhD,1,USD - US dollar,,,
11/21/2025 3:46:27,,United States,,Massachusetts,,Hamilton,Private,Biotech Equipment,1000-5000,Initially? 9/10. Lately? 5/10.,36 - 40,Field Service,Operations,Repairing liquid handlers on personally constructed schedule (high independence); firstline customer service representative; tech support,Hybrid,1,,0,,3,,Salaried,Not applicable,100000,"Salaried non-exempt; base of 40 guaranteed paid hours, overtime at time and a half",0,Commission is based off of how many FVK IIs we perform FYI. Wanna get on your FSE's good side? Get the FVK.,0,3%,5000,0,5000,5% salary matching on 401k contributions.,United. Good luck finding a doc in network.,Bachelors,3,USD - US dollar,"8/10. Stop asking redundant questions. Consolidate. It's very confusing. It's also 3-4 AM, and I'm a bit crossed. So fight me. Don't tell my boss. They drug test, and I'm on thin ice for falling behind on paperwork (which is their fault for how systemically overworked we've been lately). At least, they threaten to test. They do consistently test the factory workers, though! Drives me f*cking nuts. Unjust. It's only done to purge when needed. They can't afford to lose us though! For now! May be changing...",Roughly 10-15k in bonus/expense reimbursement,See prior response?
11/20/2025 10:31:10,,United States,,Georgia,,University of Georgia,Academia/College/Universities,Academia/Research/Institution,5000+,"I think that EHS is not aggressive enough in their approach of safety. HR is helpful and patient. Faculty is nice to be around, not nice to actually manage. I think the whole university has their technicians stretched way too thin, and the pay is not good enough to deal with the various personalities that waltz in here. ",36 - 40,Research Professional,Operations,"Ordering, fixing equipment, communicating between faculty, staff and students, assisting with student projects",In-Person,0,,0,,4,,Salaried,Not applicable,50000,N/A (no overtime/am salaried),,No commission,0,Company/Institution does not have annual yearly raise,,,,"ORP - 9.24% match vested immediately
TRS - 21.91% match vested after 10 years","Cheapest plan - Anthem Consumer Choice HSA - $91.72/month, with current HSA contributions being $51.97 (UGA will match up to $375). Deductible is $3200, max out of pocket is $5000. All in network care is 80% covered. Most out of network care is 60% covered.",Bachelors,1,USD - US dollar,,,
11/19/2025 15:43:27,,Canada,,,Alberta,Prefer not to say,Subsidiary,Contract Research Organization,200-1000,,46 - 50,Research Scientist,Research,,In-Person,0,,0,"PMP, PE, RAPS, etc",8,,Salaried,Not applicable,97000,N/A (no overtime/am salaried),,No commission,0,Company/Institution does not have annual yearly raise,,,,,,PhD,2,CAD - Canadian dollar,,,
11/17/2025 22:50:09,,United States,,Virginia,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,"Senior Specialist, Engineering",Manufacturing,,In-Person,0,,0,,11,,Salaried,Not applicable,136000,N/A (no overtime/am salaried),,No commission,0,3%,,,,,,Masters,2,USD - US dollar,,12% of base with company and individual multipliers ,17%
11/17/2025 20:08:49,,United States,,Massachusetts,,Prefer not to say,Public,Cell and Gene Therapy,200-1000,,36 - 40,Principal Process Development Engineer,Manufacturing,"Oversee Phase III / Commercial mRNA Manufacturing, Scale-up and Tech Transfer of Processes, Process Validation (PPQs), CPV, Regulatory Writing",In-Person,6,,0,"PMP, PE, RAPS, etc",12,,Salaried,Not applicable,190000,N/A (no overtime/am salaried),15,No commission,40000,Company/Institution does not have annual yearly raise,0,3000 options at $14 strike price,0,401k Match up to 3%,50% HSA contributions,Masters,6,USD - US dollar,,Restricted Stock,15
11/17/2025 4:18:08,,Canada,,,Nova Scotia,Prefer not to say,Private,Contract Research Organization,1-50,,36 - 40,Senior Scientist and Team Lead,Research,"Managing a team of scientists to complete projects on drug candidates, reading and editing reports, attending meetings with clients F2F about results.",In-Person,0,,2,,5,,Salaried,Not applicable,93000,N/A (no overtime/am salaried),8,No commission,0,3.5,0,0,0,RRSP Match,Complete benefits covered by employer,PhD,5,CAD - Canadian dollar,,,8
11/15/2025 14:28:39,,United States,,California,,Prefer not to say,Private,Cell and Gene Therapy,50-200,,36 - 40,Senior Research Associate,Research,,In-Person,0,,0,,4,,Salaried,Not applicable,115000,N/A (no overtime/am salaried),15,No commission,0,10,2000,,,1% 401k match ,free healthcare/dental/vision coverage,Bachelors,4,USD - US dollar,,,11
11/14/2025 7:48:09,,United States,,Indiana,,Eli Lilly & Co. ,Public,Pharmaceutical (including “big pharma”),5000+,,46 - 50,Sr. Manager TSMS,Manufacturing,,In-Person,0,,0,,7,,Salaried,Not applicable,130000,N/A (no overtime/am salaried),12,No commission,0,Have not been long enough to have an annual yearly raise,,,,,,Masters,3 months,USD - US dollar,,,
11/13/2025 11:40:39,,Germany,Mannheim,,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),50-200,,46 - 50,VP Technical Development & Manufacturing,Manufacturing,"Management of CDMO network for 4 programs (preIND to Phase II), responsible for process and analytical development, manufacturing and clinical drug supply",Hybrid,4,,2,,24,,Salaried,Not applicable,225000,N/A (no overtime/am salaried),25,No commission,80000,Company/Institution does not have annual yearly raise,80000,100000,0,,Healthcare insurance in German system,PhD,6,EUR - euro,,0,13
11/13/2025 8:55:22,,United States,,California,,Lonza,Public,Contract Manufacturing Organization,5000+,"Strange culture, acquisition from Genentech ",46 - 50,Director of Operational Excellence ,Manufacturing,Leading Lean deployment and problem solving ,In-Person,0,,0,Six sigma Black Belt,20,,Salaried,Not applicable,265000,N/A (no overtime/am salaried),22,No commission,150000,2%,0,0,,401K,Health insurance,Masters,1,USD - US dollar,,No,22
11/12/2025 20:13:50,,United States,,Massachusetts,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),50-200,,36 - 40,Director,Research,"Program Biology lead, manage 1 report (lots of work is outsourced)",Hybrid,2,,4,,7,,Salaried,Not applicable,215000,N/A (no overtime/am salaried),20,No commission,0,Have not been long enough to have an annual yearly raise,,"option to purchase 8,000 shares",,"401k match, 6% up to $3000 max annually",,PhD,0,USD - US dollar,,,
11/12/2025 11:43:39,,United States,,Maryland,,Prefer not to say,Public,Diagnostics,1000-5000,Its alright.  ,36 - 40,Change QA specialist,Quality,"Process change controls, cross functional cooperation for manufacturing initiatives, manage supplier change notifications",Hybrid,1,,0,,2,,Salaried,Not applicable,70000,N/A (no overtime/am salaried),8,No commission,0,Have not been long enough to have an annual yearly raise,,,,Dollar for dollar match up to $4000,,Masters,4 months,USD - US dollar,,,
11/11/2025 23:42:26,,United States,,Minnesota,,Prefer not to say,Private,Contract Research Organization,50-200,,36 - 40,Scientist,Research,,In-Person,0,,2,,2,,Salaried,Not applicable,90000,N/A (no overtime/am salaried),1,No commission,0,3-3.5%,5000,,,,,PhD,2,USD - US dollar,,,
11/11/2025 22:07:35,,United States,,Wisconsin,,Thermo Fisher Scientific,Private,Contract Research Organization,5000+,,41 - 45,Associate Research Scientist,Research,,In-Person,1,,0,,3,,Salaried,Not applicable,92000,N/A (no overtime/am salaried),6,No commission,0,4,,,,"401k match 6%, 22 days total PTO",,PhD,3,USD - US dollar,,,
11/11/2025 19:48:10,,United States,,Pennsylvania,,Prefer not to say,Private,Cell and Gene Therapy,1000-5000,,36 - 40,Senior research associate ,Research,R&D gene therapy research with a focus on AAV. ,In-Person,0,,0,,6,,Salaried,Not applicable,70000,N/A (no overtime/am salaried),,No commission,0,Have not been long enough to have an annual yearly raise,,,,Mediocre ,About 60 a week,Bachelors,1,USD - US dollar,,,
11/11/2025 18:39:37,,United States,,Washington,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),50-200,3.5,36 - 40,"Senior Scientist I, Medicinal Chemistry",Research,Small molecule drug discovery/medicinal chemistry on bench with one report,In-Person,0,,2,,7,,Salaried,Not applicable,135633,N/A (no overtime/am salaried),5,No commission,4444,3%,,,15000,401k match 6% or $6000/year,"PPO or HSA, w/ dental and vision. PPO has a $750/$1500 deductible and $3000/$6000 OOP",PhD,7,USD - US dollar,,,5.7
11/11/2025 18:07:06,,United States,,Washington,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),50-200,,36 - 40,Scientist I,Research,Medicinal Chemist,In-Person,0,,0,,15,,Salaried,Not applicable,133000,N/A (no overtime/am salaried),5,No commission,0,3,0,Annual stock options awarded as part of compensation package,0,401K Match up to 4K,,Masters,1,USD - US dollar,,,5
11/11/2025 11:03:32,,United States,,California,,Prefer not to say,Private,Software,200-1000,,46 - 50,Research scientist,Research,,Hybrid,2,,0,,0,,Salaried,Not applicable,235000,N/A (no overtime/am salaried),12,No commission,0,Have not been long enough to have an annual yearly raise,,,,401k match,insurance,PhD,1,USD - US dollar,,12500,12
11/10/2025 11:39:23,,United States,,Massachusetts,,Dana Farber Cancer Institute,Academia/College/Universities,Academia/Research/Institution,5000+,not good,36 - 40,Research Technician,Research,Cell and Gene therapy - production and testing for CAR-Ts,In-Person,0,,0,,0,,Hourly,40 - 42 hours,50000,1.5X,0,No commission,0,Have not been long enough to have an annual yearly raise,0,0,0,0,"insurance provider, total out of pocket, HSA contributions,",Masters,1,USD - US dollar,,0,0
11/6/2025 17:44:33,,United States,,California,,Prefer not to say,Private,Cell and Gene Therapy,1-50,,41 - 45,Scientist I,Research,,In-Person,1,,0,,4,,Salaried,Not applicable,110000,N/A (no overtime/am salaried),,No commission,0,Company/Institution does not have annual yearly raise,,,,401k match 4%,,Masters,4,USD - US dollar,,,
11/3/2025 18:17:42,,United States,,New Jersey,,Prefer not to say,Public,Cell and Gene Therapy,200-1000,,51 - 60,Senior Director,Commercial,,Remote,5,,0,,9,,Salaried,Not applicable,283000,N/A (no overtime/am salaried),20,No commission,40000,6,,,,,,Masters,3,USD - US dollar,,,1818%
11/2/2025 19:19:27,,United States,,Massachusetts,,Sanofi,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Senior Research Associate,Research,,In-Person,0,,0,,5,,Salaried,Not applicable,97000,N/A (no overtime/am salaried),10,No commission,0,5,8000,,,9% 401k match,,Bachelors,4,USD - US dollar,,,10
11/2/2025 16:16:58,,United States,,California,,gilead,Public,Cell and Gene Therapy,5000+,8,46 - 50,principal scientist,Analytical Development,t cell attribute sciences lead,In-Person,1,,4,,8,,Salaried,Not applicable,204000,N/A (no overtime/am salaried),20,No commission,191000,4,,,,401k match 15%,HSA,PhD,2,USD - US dollar,9,Stock grant,47000
11/2/2025 3:53:47,,United Kingdom,Glasgow,,,University of Glasgow,Academia/College/Universities,Academia/Research/Institution,5000+,"Nice company with great work environment and maybe too much work, good salary for my experience",46 - 50,Post-Doctoral Research Associate,Research,"2nd year's post-phd, molecular simulations and experimental pharmacology",In-Person,1,,1,,1,,Salaried,Not applicable,41000,N/A (no overtime/am salaried),0,No commission,0,2.9,0,0,0,University Superannuation Scheme (USS),universal National Health Service (NHS),PhD,1,GBP - sterling,,No,
11/1/2025 15:03:55,,United States,,North Carolina,,Prefer not to say,Private,Biotech Equipment,1000-5000,"My company is great to work for, they are big on feedback and actually use it, my current job is a direct result of that. Even though I'm on the vendor service side of things I still feel like I'm making and impact on the care people receive. Being privately held we don't have the pressures that come from having stock holders. ",36 - 40,Product Support Manager ,Operations,"Service Engineer training, generate work instructions, escalated support ",Remote,4,,0,,12,,Salaried,Not applicable,114000,N/A (no overtime/am salaried),,No commission,0,3.5,,,,401k match 8%,PPO ,High School,1,USD - US dollar,,22000,100
11/1/2025 7:11:29,,Ireland,Dublin,,,Pfizer,Private,Pharmaceutical (including “big pharma”),5000+,"Very good, lots of training, great atmosphere ",30 - 35,Graduate ,Operations,23-month rotational ,Hybrid,2,,0,,0,,Salaried,Not applicable,35000,N/A (no overtime/am salaried),8,No commission,0,Have not been long enough to have an annual yearly raise,,,,Pension plan match at double. E.g. my contribution 5% company's contribution 10%,Viva and layla heath insurace to choose form,Bachelors,0,EUR - euro,Easy to fill in,Christmas bonus extra weeks pay,
11/1/2025 6:00:40,,United States,,Maryland,,MilliporeSigma ,Public,Contract Manufacturing Organization,5000+,Great overall.,36 - 40,Scientist II,Research,Research and development of biosafety tests,In-Person,0,,1,,0,,Salaried,Not applicable,100000,N/A (no overtime/am salaried),6.5,No commission,0,Have not been long enough to have an annual yearly raise,0,0,,401k 6% match,HSA $500 match,PhD,1,USD - US dollar,,,
